[INFO]
Keithley 2400
Meas Time: 4/25/2024 7:59:07 PM
Params: GPIB address = GPIB0::24::INSTR; DataFile = C:\Users\mal\Desktop\data\strong_light3; Compliance  Level (0.1) = 0.100000000000000; Number of Points (5) = 1000; Minimum Amplitude (1) = -2.000000000000000; Maximum Amplitude (2) = 5.000000000000000; Timeout (100000 ms) = 100000; Source Mode  (0: Voltage) = 0; 4-wire? = FALSE; delay(S) = 0.000000000000000; Start = ; 

[COMMENT]


[DATA]
time (s)	Voltage (V)	Current (A)	absCurrent (A)	Fitting Resistance (Ohms)

5252.63964843749999	-2.000261306762695	-0.000184067175724	0.000184067175724	18.522271154849005
5252.68164062499999	-1.993259429931641	-0.000185081269592	0.000185081269592	18.522271154849005
5252.72363281249999	-1.986236572265625	-0.000185680110008	0.000185680110008	18.522271154849005
5252.76562499999999	-1.979181289672852	-0.000186779303476	0.000186779303476	18.522271154849005
5252.80761718749999	-1.97215461730957	-0.00018721295055	0.00018721295055	18.522271154849005
5252.84960937499999	-1.965108871459961	-0.000188216567039	0.000188216567039	18.522271154849005
5252.89160156249999	-1.957998275756836	-0.000188178499229	0.000188178499229	18.522271154849005
5252.93359374999999	-1.951045989990234	-0.000187287689187	0.000187287689187	18.522271154849005
5252.97558593749999	-1.944026947021484	-0.000187390018255	0.000187390018255	18.522271154849005
5253.01757812499999	-1.937004089355469	-0.000187526107766	0.000187526107766	18.522271154849005
5253.05957031249999	-1.930328369140625	-0.000187516328879	0.000187516328879	18.522271154849005
5253.10156249999999	-1.923318862915039	-0.00018726370763	0.00018726370763	18.522271154849005
5253.14257812499999	-1.916296005249023	-0.000187306432053	0.000187306432053	18.522271154849005
5253.18457031249999	-1.909263610839844	-0.000187312602066	0.000187312602066	18.522271154849005
5253.22656249999999	-1.902290344238281	-0.000188219361007	0.000188219361007	18.522271154849005
5253.26855468749999	-1.895206451416016	-0.00018899620045	0.00018899620045	18.522271154849005
5253.31054687499999	-1.88818359375	-0.000190400052816	0.000190400052816	18.522271154849005
5253.35253906249999	-1.881135940551758	-0.0001922553638	0.0001922553638	18.522271154849005
5253.39453124999999	-1.874046325683594	-0.000193352228962	0.000193352228962	18.522271154849005
5253.43652343749999	-1.86707878112793	-0.000194344553165	0.000194344553165	18.522271154849005
5253.47851562499999	-1.860044479370117	-0.000194573774934	0.000194573774934	18.522271154849005
5253.52050781249999	-1.853006362915039	-0.000196775537916	0.000196775537916	18.522271154849005
5253.56249999999999	-1.846311569213867	-0.000198854831979	0.000198854831979	18.522271154849005
5253.60449218749999	-1.839328765869141	-0.000203222036362	0.000203222036362	18.522271154849005
5253.64648437499999	-1.832326889038086	-0.00020649144426	0.00020649144426	18.522271154849005
5253.68847656249999	-1.825305938720703	-0.000209304969758	0.000209304969758	18.522271154849005
5253.73046874999999	-1.818222045898437	-0.000209084828384	0.000209084828384	18.522271154849005
5253.77246093749999	-1.811229705810547	-0.000208990182728	0.000208990182728	18.522271154849005
5253.81445312499999	-1.804210662841797	-0.000208432087675	0.000208432087675	18.522271154849005
5253.85644531249999	-1.797128677368164	-0.000207855831832	0.000207855831832	18.522271154849005
5253.89843749999999	-1.790132522583008	-0.000207919743843	0.000207919743843	18.522271154849005
5253.94042968749999	-1.783105850219727	-0.000208577257581	0.000208577257581	18.522271154849005
5253.98242187499999	-1.776044845581055	-0.000207587843761	0.000207587843761	18.522271154849005
5254.02441406249999	-1.769037246704102	-0.000206765718758	0.000206765718758	18.522271154849005
5254.06640624999999	-1.762350082397461	-0.000205379677936	0.000205379677936	18.522271154849005
5254.10839843749999	-1.755292892456055	-0.000204674899578	0.000204674899578	18.522271154849005
5254.15039062499999	-1.747692108154297	-0.000205083750188	0.000205083750188	18.522271154849005
5254.19238281249999	-1.740640640258789	-0.000204608892091	0.000204608892091	18.522271154849005
5254.23437499999999	-1.733600616455078	-0.000204045092687	0.000204045092687	18.522271154849005
5254.27636718749999	-1.726598739624023	-0.000203101430088	0.000203101430088	18.522271154849005
5254.31835937499999	-1.719875335693359	-0.000202656374313	0.000202656374313	18.522271154849005
