[INFO]
Keithley 2400
Meas Time: 4/25/2024 7:56:13 PM
Params: GPIB address = GPIB0::24::INSTR; DataFile = C:\Users\mal\Desktop\data\no_light1; Compliance  Level (0.1) = 0.100000000000000; Number of Points (5) = 1000; Minimum Amplitude (1) = -2.000000000000000; Maximum Amplitude (2) = 5.000000000000000; Timeout (100000 ms) = 100000; Source Mode  (0: Voltage) = 0; 4-wire? = FALSE; delay(S) = 0.000000000000000; Start = ; 

[COMMENT]


[DATA]
time (s)	Voltage (V)	Current (A)	absCurrent (A)	Fitting Resistance (Ohms)

5079.06445312499999	-2.000215530395508	-6.808409125369508E-8	6.808409125369508E-8	17.528914379365602
5079.10644531249999	-1.993242263793945	-6.805430530221201E-8	6.805430530221201E-8	17.528914379365602
5079.14843749999999	-1.986185073852539	-6.838627086835913E-8	6.838627086835913E-8	17.528914379365602
5079.19042968749999	-1.979145050048828	-6.860705070721451E-8	6.860705070721451E-8	17.528914379365602
5079.23242187499999	-1.972095489501953	-6.842390121164499E-8	6.842390121164499E-8	17.528914379365602
5079.27441406249999	-1.96510124206543	-6.842196853540372E-8	6.842196853540372E-8	17.528914379365602
5079.31640624999999	-1.958063125610352	-6.801701601943932E-8	6.801701601943932E-8	17.528914379365602
5079.35839843749999	-1.951055526733398	-6.704783572786255E-8	6.704783572786255E-8	17.528914379365602
5079.40039062499999	-1.943986892700195	-6.687901077384595E-8	6.687901077384595E-8	17.528914379365602
5079.44238281249999	-1.936965942382812	-6.686809683742467E-8	6.686809683742467E-8	17.528914379365602
5079.48437499999999	-1.930295944213867	-6.651771400356665E-8	6.651771400356665E-8	17.528914379365602
5079.52636718749999	-1.923299789428711	-6.641585059696808E-8	6.641585059696808E-8	17.528914379365602
5079.56835937499999	-1.916286468505859	-6.595826107513858E-8	6.595826107513858E-8	17.528914379365602
5079.61035156249999	-1.909236907958984	-6.583366030099569E-8	6.583366030099569E-8	17.528914379365602
5079.65234374999999	-1.902217864990234	-6.534753538289806E-8	6.534753538289806E-8	17.528914379365602
5079.69433593749999	-1.895191192626953	-6.499863047793042E-8	6.499863047793042E-8	17.528914379365602
5079.73632812499999	-1.888156890869141	-6.473965186160058E-8	6.473965186160058E-8	17.528914379365602
5079.77832031249999	-1.881093978881836	-6.45162572254776E-8	6.45162572254776E-8	17.528914379365602
5079.82031249999999	-1.874067306518555	-6.429024779208703E-8	6.429024779208703E-8	17.528914379365602
5079.86230468749999	-1.867036819458008	-6.402160579455085E-8	6.402160579455085E-8	17.528914379365602
5079.90429687499999	-1.860012054443359	-6.392883733497001E-8	6.392883733497001E-8	17.528914379365602
5079.94628906249999	-1.852945327758789	-6.376978944899747E-8	6.376978944899747E-8	17.528914379365602
5079.98828124999999	-1.846267700195312	-6.379048045346281E-8	6.379048045346281E-8	17.528914379365602
5080.02929687499999	-1.83930778503418	-6.37814991932828E-8	6.37814991932828E-8	17.528914379365602
5080.07128906249999	-1.832296371459961	-6.380003014783142E-8	6.380003014783142E-8	17.528914379365602
5080.11328124999999	-1.825250625610352	-6.37899120192742E-8	6.37899120192742E-8	17.528914379365602
5080.15527343749999	-1.818187713623047	-6.357720394589705E-8	6.357720394589705E-8	17.528914379365602
5080.19726562499999	-1.811187744140625	-6.347943326545646E-8	6.347943326545646E-8	17.528914379365602
5080.23925781249999	-1.804155349731445	-6.342395408864832E-8	6.342395408864832E-8	17.528914379365602
5080.28124999999999	-1.797069549560547	-6.337938884826144E-8	6.337938884826144E-8	17.528914379365602
5080.32324218749999	-1.790067672729492	-6.335426405712496E-8	6.335426405712496E-8	17.528914379365602
5080.36523437499999	-1.783058166503906	-6.338518687698524E-8	6.338518687698524E-8	17.528914379365602
5080.40722656249999	-1.776008605957031	-6.352740911097499E-8	6.352740911097499E-8	17.528914379365602
